left_id,right_id,left,right,label
1930,1384498,COL make VAL BOEING COL model VAL 737 COL series VAL 229 COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 737-2U9,0
25353,HILLER-UH12-H23C,COL make VAL HILLER COL model VAL H23 COL series VAL C COL name VAL No Popular Name COL cert VAL 6H2,COL make VAL HILLER COL model VAL UH12 COL series VAL H23C COL cert VAL 6H2,1
9587,4500314,COL make VAL WEATHERLY COL model VAL 201 COL series VAL C COL name VAL No Popular Name,COL make VAL IAI LTD COL model VAL GULFSTREAM G280,0
21392,1181429,COL make VAL BELL COL model VAL UH1 COL series VAL F COL name VAL IROQUOIS,COL make VAL PRECISION HELICOPTERS LLC COL model VAL UH-1H,0
7504,CE-172-N,COL make VAL PIPER COL model VAL PA18 COL series VAL 135 COL name VAL SUPER CUB COL cert VAL 1A2,COL make VAL CE COL model VAL 172 COL series VAL N COL name VAL SKYHAWK COL cert VAL 3A12,0
2214,1384500,COL make VAL BOEING COL model VAL 737 COL series VAL 73S COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 737-73S,1
165,0191008,COL make VAL AERONCA COL model VAL L3 COL series VAL C COL name VAL No Popular Name,COL make VAL AERONCA COL model VAL L-3B,0
4432,2720305,COL make VAL DASSAULT COL model VAL FANJET FALCON COL series VAL D COL name VAL No Popular Name,COL make VAL DASSAULT/SUD COL model VAL FAN JET FALCON SER E,0
6837,DC-9-30,COL make VAL MCDONNELL DOUGLAS COL model VAL MD90 COL series VAL 30 COL name VAL No Popular Name COL cert VAL A6WE,COL make VAL DC COL model VAL 9 COL series VAL 30 COL cert VAL A6WE,1
466,3940029,COL make VAL AIRBUS COL model VAL A330 COL series VAL 322 COL name VAL No Popular Name,COL make VAL AIRBUS COL model VAL A330-322,1
444,3930325,COL make VAL AIRBUS COL model VAL A320 COL series VAL 231 COL name VAL No Popular Name,COL make VAL AIRBUS INDUSTRIE COL model VAL A320-231,1
3087,TCRAFT-D-L2C,COL make VAL BUHL COL model VAL CA3 COL series VAL C COL name VAL AIRSEDAN COL cert VAL ATC 46,COL make VAL TCRAFT COL model VAL D COL series VAL L2C COL cert VAL A746,0
5884,4470718,COL make VAL HUGHES COL model VAL 369 COL series VAL E COL name VAL 500E,COL make VAL HUGHES COL model VAL 369H,0
5713,4230170,COL make VAL HAWKER SIDDELEY COL model VAL HS125 COL series VAL 600B COL name VAL No Popular Name,COL make VAL HAWKER SIDDELEY COL model VAL HS.125 SERIES 700A,0
1745,NA-A36-A,COL make VAL BOEING COL model VAL 727 COL series VAL 208 COL name VAL No Popular Name COL cert VAL A3WE,COL make VAL NA COL model VAL A36 COL series VAL A COL cert VAL L152,0
1426,CURTIS-TRVAIR-2000,COL make VAL BELL COL model VAL 212 COL series VAL NO SERIES EXISTS COL name VAL TWIN TWO TWELVE COL cert VAL H4SW,COL make VAL CURTIS COL model VAL TRVAIR COL series VAL 2000 COL name VAL TRAVEL AIR COL cert VAL ATC30,0
4912,EMB-145-EP,COL make VAL EMBRAER COL model VAL EMB145 COL series VAL EP COL name VAL ERJ145EP COL cert VAL EA-9606,COL make VAL EMB COL model VAL 145 COL series VAL EP COL cert VAL T00011AT,1
